,name,12_months,6_months,3_months,1_month,date
0,MX Linux,3377,3413,3840,3968,2021-11-22 10:30:21.520607
1,EndeavourOS,2355,3027,3595,3540,2021-11-22 10:30:21.520607
2,Manjaro,2344,2209,2246,2115,2021-11-22 10:30:21.520607
3,Mint,2064,1963,1978,2095,2021-11-22 10:30:21.520607
4,Pop!_OS,1734,1531,1523,1622,2021-11-22 10:30:21.520607
5,Ubuntu,1346,1319,1438,1285,2021-11-22 10:30:21.520607
6,Garuda,1011,1229,1280,1337,2021-11-22 10:30:21.520607
7,Debian,1289,1301,1282,1240,2021-11-22 10:30:21.520607
8,Fedora,997,975,1119,1302,2021-11-22 10:30:21.520607
9,elementary,1108,1073,980,934,2021-11-22 10:30:21.520607
10,openSUSE,831,766,723,749,2021-11-22 10:30:21.520607
11,Zorin,770,880,968,921,2021-11-22 10:30:21.520607
12,antiX,573,621,696,887,2021-11-22 10:30:21.520607
13,KDE neon,718,695,693,690,2021-11-22 10:30:21.520607
14,Solus,663,596,537,559,2021-11-22 10:30:21.520607
15,Lite,450,502,636,589,2021-11-22 10:30:21.520607
16,Slackware,460,503,578,678,2021-11-22 10:30:21.520607
17,Arch,553,477,475,418,2021-11-22 10:30:21.520607
18,PCLinuxOS,469,487,481,637,2021-11-22 10:30:21.520607
19,AlmaLinux,240,319,350,598,2021-11-22 10:30:21.520607
20,Puppy,465,387,392,399,2021-11-22 10:30:21.520607
21,Super Grub2,84,138,252,565,2021-11-22 10:30:21.520607
22,Artix,349,432,423,266,2021-11-22 10:30:21.520607
23,Kali,434,425,456,418,2021-11-22 10:30:21.520607
24,deepin,444,285,181,158,2021-11-22 10:30:21.520607
25,SparkyLinux,354,370,437,405,2021-11-22 10:30:21.520607
26,Rocky,215,351,347,503,2021-11-22 10:30:21.520607
27,ArcoLinux,412,402,425,461,2021-11-22 10:30:21.520607
28,EasyOS,291,270,369,489,2021-11-22 10:30:21.520607
29,FreeBSD,398,335,362,470,2021-11-22 10:30:21.520607
30,CentOS,401,367,365,448,2021-11-22 10:30:21.520607
31,Void,317,324,418,297,2021-11-22 10:30:21.520607
32,Mageia,396,281,250,245,2021-11-22 10:30:21.520607
33,Q4OS,386,360,387,337,2021-11-22 10:30:21.520607
34,Kubuntu,316,317,382,339,2021-11-22 10:30:21.520607
35,Linuxfx,360,247,271,208,2021-11-22 10:30:21.520607
36,Trisquel,154,171,223,411,2021-11-22 10:30:21.520607
37,Devuan,319,327,365,340,2021-11-22 10:30:21.520607
38,Alpine,342,300,307,315,2021-11-22 10:30:21.520607
39,Voyager,193,200,296,358,2021-11-22 10:30:21.520607
40,Lubuntu,328,309,360,326,2021-11-22 10:30:21.520607
41,Red Hat,195,192,233,340,2021-11-22 10:30:21.520607
42,Tails,311,292,280,246,2021-11-22 10:30:21.520607
43,Feren,208,228,316,215,2021-11-22 10:30:21.520607
44,Lakka,135,206,256,319,2021-11-22 10:30:21.520607
45,Peppermint,277,250,260,271,2021-11-22 10:30:21.520607
46,PureOS,251,257,291,256,2021-11-22 10:30:21.520607
47,RasPiOS,183,163,187,319,2021-11-22 10:30:21.520607
48,Xubuntu,273,245,289,244,2021-11-22 10:30:21.520607
49,Bluestar,268,258,249,221,2021-11-22 10:30:21.520607
50,GhostBSD,250,216,289,172,2021-11-22 10:30:21.520607
51,RebornOS,270,255,256,204,2021-11-22 10:30:21.520607
52,Elive,155,149,157,292,2021-11-22 10:30:21.520607
53,Ubuntu Kylin,266,93,92,43,2021-11-22 10:30:21.520607
54,Kodachi,220,234,270,267,2021-11-22 10:30:21.520607
55,Gecko,238,178,136,140,2021-11-22 10:30:21.520607
56,Mabox,204,234,201,137,2021-11-22 10:30:21.520607
57,Absolute,185,199,208,250,2021-11-22 10:30:21.520607
58,Parrot,229,192,196,195,2021-11-22 10:30:21.520607
59,NuTyX,100,109,126,247,2021-11-22 10:30:21.520607
60,Gentoo,225,212,225,237,2021-11-22 10:30:21.520607
61,Nitrux,213,227,243,238,2021-11-22 10:30:21.520607
62,KaOS,224,205,184,131,2021-11-22 10:30:21.520607
63,Android-x86,218,214,184,191,2021-11-22 10:30:21.520607
64,Ubuntu MATE,218,191,219,181,2021-11-22 10:30:21.520607
65,ExTiX,161,177,228,220,2021-11-22 10:30:21.520607
66,NixOS,195,206,171,182,2021-11-22 10:30:21.520607
67,FuguIta,92,117,103,226,2021-11-22 10:30:21.520607
68,ReactOS,187,177,188,226,2021-11-22 10:30:21.520607
69,Bodhi,210,186,184,189,2021-11-22 10:30:21.520607
70,Archman,152,141,201,194,2021-11-22 10:30:21.520607
71,Septor,170,144,132,212,2021-11-22 10:30:21.520607
72,Haiku,167,187,156,171,2021-11-22 10:30:21.520607
73,4MLinux,190,162,132,100,2021-11-22 10:30:21.520607
74,Qubes,185,158,185,201,2021-11-22 10:30:21.520607
75,Kaisen,93,186,130,130,2021-11-22 10:30:21.520607
76,Redcore,139,166,167,199,2021-11-22 10:30:21.520607
77,ROSA,134,131,145,195,2021-11-22 10:30:21.520607
78,JingOS,132,177,140,134,2021-11-22 10:30:21.520607
79,AV Linux,181,175,133,139,2021-11-22 10:30:21.520607
80,Emmabuntüs,168,166,182,119,2021-11-22 10:30:21.520607
81,KNOPPIX,180,155,161,171,2021-11-22 10:30:21.520607
82,Oracle,140,139,136,191,2021-11-22 10:30:21.520607
83,BunsenLabs,146,148,179,142,2021-11-22 10:30:21.520607
84,ALT,157,170,140,143,2021-11-22 10:30:21.520607
85,Ubuntu Budgie,145,141,177,146,2021-11-22 10:30:21.520607
86,EuroLinux,130,168,121,112,2021-11-22 10:30:21.520607
87,Archcraft,52,104,174,87,2021-11-22 10:30:21.520607
88,Endless,161,125,118,137,2021-11-22 10:30:21.520607
89,Ubuntu Studio,156,140,173,143,2021-11-22 10:30:21.520607
90,Tiny Core,161,135,144,157,2021-11-22 10:30:21.520607
91,OpenBSD,153,145,169,152,2021-11-22 10:30:21.520607
92,Clear,132,131,142,165,2021-11-22 10:30:21.520607
93,CloudReady,120,117,166,91,2021-11-22 10:30:21.520607
94,PrimTux,49,47,72,164,2021-11-22 10:30:21.520607
95,MakuluLinux,155,143,107,113,2021-11-22 10:30:21.520607
96,SteamOS,145,153,153,153,2021-11-22 10:30:21.520607
97,NomadBSD,155,102,98,95,2021-11-22 10:30:21.520607
98,OpenMandriva,155,130,107,113,2021-11-22 10:30:21.520607
99,Snal,136,138,154,88,2021-11-22 10:30:21.520607
100,DragonFly,154,134,150,132,2021-11-22 10:30:21.520607
101,VzLinux,72,144,81,101,2021-11-22 10:30:21.520607
102,MidnightBSD,89,94,148,51,2021-11-22 10:30:21.520607
103,Ultimate,150,99,91,55,2021-11-22 10:30:21.520607
104,Proxmox,108,124,105,138,2021-11-22 10:30:21.520607
105,UBports,125,124,137,134,2021-11-22 10:30:21.520607
106,Whonix,78,93,137,62,2021-11-22 10:30:21.520607
107,Netrunner,136,85,62,59,2021-11-22 10:30:21.520607
108,Freespire,76,101,64,130,2021-11-22 10:30:21.520607
109,Rescatux,40,46,64,128,2021-11-22 10:30:21.520607
110,Robolinux,107,116,127,124,2021-11-22 10:30:21.520607
111,3CX,53,57,72,127,2021-11-22 10:30:21.520607
